 2021-11-15 21:08 	 KC3BUZ 	 7.040073 	 -28 	 0 	 FN10 	 0.01 	 N9UYC 	 EM69tr 	 798 	 267 	 2 
 2021-11-15 21:08 	 N5AQM 	 10.140231 	 -21 	 0 	 DM43ah 	 0.5 	 K6PZB 	 CM88nk 	 1136 	 303 	 2 
 2021-11-15 21:08 	 NK5G 	 14.097096 	 -14 	 0 	 EM20ef 	 0.2 	 AL7CR 	 CN82ie 	 2798 	 306 	 2 
 2021-11-15 21:08 	 VE6DAI 	 14.097037 	 -22 	 0 	 DO33em 	 2 	 KC7PBF 	 CN85 	 1121 	 221 	 2 
 2021-11-15 21:08 	 N3BUS 	 14.097089 	 -23 	 0 	 FM19 	 2 	 PY2UGO 	 GG66pk 	 7685 	 150 	 2 
 2021-11-15 21:08 	 DO7UDO 	 3.570191 	 -16 	 0 	 JO50xd 	 1 	 HB9DUR 	 JN46la 	 510 	 207 	 2 
 2021-11-15 21:08 	 DO7UDO 	 3.570123 	 -9 	 4 	 JO50xd 	 1 	 S54MTB 	 JN75ot 	 539 	 152 	 2 
 2021-11-15 21:08 	 F4ASK 	 1.838101 	 -21 	 0 	 IN96ij 	 5 	 OZ7IT 	 JO65df 	 1365 	 39 	 2 
 2021-11-15 21:08 	 PA0O 	 1.838188 	 -4 	 0 	 JO33hg 	 5 	 OZ7IT 	 JO65df 	 428 	 57 	 2 
 2021-11-15 21:08 	 DL6NCL 	 3.570044 	 -14 	 0 	 JO50xg 	 1 	 G7ELK 	 IO90jv 	 931 	 279 	 2 
 2021-11-15 21:08 	 IW4BTJ 	 1.838050 	 -2 	 0 	 JN54pp 	 1 	 OZ7IT 	 JO65df 	 1179 	 3 	 2 
 2021-11-15 21:08 	 OK2BVG 	 1.838015 	 -1 	 0 	 JN88ks 	 2 	 OZ7IT 	 JO65df 	 783 	 338 	 2 
 2021-11-15 21:08 	 N0UDM 	 10.140210 	 -16 	 0 	 DM78he 	 0.2 	 WA3TTS 	 EN90xn 	 2186 	 75 	 2 
 2021-11-15 21:08 	 OK2BVG 	 1.838015 	 -17 	 0 	 JN88ks 	 2 	 I0UVN 	 JN61nl 	 862 	 201 	 2 
 2021-11-15 21:08 	 NO5V 	 21.096053 	 -21 	 -1 	 EL15gw 	 1 	 K6PZB 	 CM88nk 	 2752 	 307 	 2 
 2021-11-15 21:08 	 HP1GDP 	 10.140294 	 -23 	 0 	 FJ09 	 0.2 	 EA8/DF4UE 	 IL38bp 	 7087 	 63 	 2 
 2021-11-15 21:08 	 VK3LU 	 10.140258 	 -22 	 0 	 QF22rs 	 5 	 ZL2005SWL 	 RE68mx 	 2406 	 109 	 2 
 2021-11-15 21:08 	 N2HQI 	 14.097119 	 -30 	 0 	 FN13sa 	 5 	 KC7PBF 	 CN85 	 3668 	 291 	 2 
 2021-11-15 21:08 	 KC3BUZ 	 7.040078 	 -22 	 0 	 FN10 	 0.01 	 N4AAA 	 EM65ox 	 987 	 243 	 2 
 2021-11-15 21:08 	 VE5MMG 	 14.097107 	 -11 	 0 	 DO62qc 	 0.1 	 AL7CR 	 CN82ie 	 1668 	 235 	 2 
 2021-11-15 21:08 	 TA4/G8SCU 	 10.140271 	 -22 	 0 	 KM56vo 	 5 	 EA8/DF4UE 	 IL38bp 	 4326 	 272 	 2 
 2021-11-15 21:08 	 SM0FKI 	 3.570125 	 -24 	 0 	 JO89ug 	 1 	 G7ELK 	 IO90jv 	 1513 	 240 	 2 
 2021-11-15 21:08 	 ZS1LCD 	 7.040122 	 -29 	 0 	 JF95fx 	 1 	 ZS3RF 	 KG01 	 656 	 22 	 2 
 2021-11-15 21:08 	 DL2JA 	 10.140242 	 -22 	 0 	 JN58vk 	 1 	 WA3TTS 	 EN90xn 	 6887 	 301 	 2 
 2021-11-15 21:08 	 IK1HGI 	 0.475701 	 -29 	 0 	 JN45ik 	 0.01 	 HB9TTU 	 JN47jj 	 218 	 2 	 2 
 2021-11-15 21:08 	 IW4BTJ 	 1.838049 	 -17 	 0 	 JN54pp 	 1 	 I0UVN 	 JN61nl 	 382 	 156 	 2 
 2021-11-15 21:08 	 DG7RJ 	 10.140257 	 -25 	 0 	 JN58th 	 5 	 EA8/DF4UE 	 IL38bp 	 3088 	 234 	 2 
 2021-11-15 21:08 	 PA0O 	 1.838194 	 +3 	 0 	 JO33hg 	 5 	 G4BOO 	 IO91ij 	 577 	 252 	 2 
 2021-11-15 21:08 	 VK4ZF 	 14.097099 	 -25 	 -2 	 QG62 	 0.2 	 ZL2005SWL 	 RE68mx 	 2369 	 135 	 2 
 2021-11-15 21:08 	 N2HQI 	 14.097126 	 -1 	 0 	 FN13sa 	 5 	 AL7CR 	 CN82ie 	 3784 	 285 	 2 
 2021-11-15 21:08 	 F4ASK 	 1.838101 	 -18 	 0 	 IN96ij 	 5 	 G8AOE 	 IO94im 	 903 	 0 	 2 
 2021-11-15 21:08 	 SP2LNY 	 0.475714 	 -28 	 0 	 JO94vi 	 2 	 2M0FWQ 	 IO76jq 	 1586 	 290 	 2 
 2021-11-15 21:08 	 M0PWX 	 10.140256 	 -15 	 0 	 JO01ij 	 1 	 EA8/DF4UE 	 IL38bp 	 2806 	 211 	 2 
 2021-11-15 21:08 	 M0UNI 	 10.140248 	 -21 	 0 	 IO82rw 	 2 	 EA8/DF4UE 	 IL38bp 	 2857 	 203 	 2 
 2021-11-15 21:08 	 G3JKF 	 3.570155 	 -5 	 0 	 JO00bs 	 5 	 G7ELK 	 IO90jv 	 95 	 279 	 2 
 2021-11-15 21:08 	 PA0O 	 1.838188 	 -21 	 0 	 JO33hg 	 5 	 I0UVN 	 JN61nl 	 1398 	 157 	 2 
 2021-11-15 21:08 	 KC5MO 	 21.096099 	 -18 	 0 	 EM10bf 	 0.1 	 W7PUA 	 CN84jq 	 2735 	 313 	 2 
 2021-11-15 21:08 	 K0WET 	 18.106138 	 -28 	 -1 	 DM79 	 0.2 	 K2ZN 	 FN13ec 	 2315 	 71 	 2 
 2021-11-15 21:08 	 K0CFW 	 7.040123 	 -22 	 0 	 EN34oq 	 0.2 	 KD6RF 	 EM22 	 1371 	 189 	 2 
 2021-11-15 21:08 	 KE8OLL 	 14.097139 	 -24 	 0 	 EN82ch 	 0.2 	 AL7CR 	 CN82ie 	 3221 	 283 	 2 
 2021-11-15 21:08 	 IZ3WXD 	 7.040040 	 -29 	 0 	 JN55wk 	 0.5 	 TF4AH 	 HP75rm 	 3121 	 328 	 2 
 2021-11-15 21:08 	 OK2BVG 	 1.838020 	 -18 	 0 	 JN88ks 	 2 	 DL2PK 	 JO31ik 	 783 	 296 	 2 
 2021-11-15 21:08 	 KV0S 	 10.140259 	 -21 	 0 	 EM38tv 	 0.2 	 KM4BLG/SWL 	 EM85qm 	 941 	 110 	 2 
 2021-11-15 21:08 	 SP2LNY 	 0.475715 	 -20 	 0 	 JO94vi 	 2 	 DK2DB 	 JN48fw 	 985 	 237 	 2 
 2021-11-15 21:08 	 DO7UDO 	 3.570199 	 -10 	 0 	 JO50xd 	 1 	 G7ELK 	 IO90jv 	 933 	 280 	 2 
 2021-11-15 21:08 	 DL2JA 	 10.140240 	 -20 	 0 	 JN58vk 	 1 	 EA8/DF4UE 	 IL38bp 	 3106 	 234 	 2 
 2021-11-15 21:08 	 W8AC 	 7.040027 	 -14 	 0 	 EN91jm 	 5 	 N8YE 	 EM99hj 	 237 	 183 	 2 
 2021-11-15 21:08 	 N8VZ 	 7.040110 	 -20 	 0 	 EM89wh 	 5 	 KD6RF 	 EM22 	 1387 	 241 	 2 
 2021-11-15 21:08 	 AA1AH 	 10.140204 	 0 	 0 	 FN43 	 0.2 	 WA3TTS 	 EN90xn 	 811 	 249 	 2 
 2021-11-15 21:08 	 GM8XBZ 	 5.288667 	 -27 	 0 	 IO75jv 	 0.2 	 I0UVN 	 JN61nl 	 2080 	 133 	 2 
 2021-11-15 21:08 	 G0PKT 	 10.140164 	 -6 	 0 	 JO01mt 	 0.2 	 EA8/DF4UE 	 IL38bp 	 2858 	 211 	 2 
 2021-11-15 21:08 	 AF7XZ 	 14.097150 	 -1 	 0 	 DM42mf 	 0.2 	 AL7CR 	 CN82ie 	 1552 	 319 	 2 
 2021-11-15 21:08 	 OZ7IT 	 10.140239 	 -8 	 0 	 JO65df 	 5 	 EA8/DF4UE 	 IL38bp 	 3619 	 226 	 2 
 2021-11-15 21:08 	 G4GCI 	 10.140107 	 -28 	 0 	 IO90gu 	 5 	 G7ELK 	 IO90jv 	 18 	 75 	 2 
 2021-11-15 21:08 	 K9VQA 	 7.040005 	 -10 	 0 	 EN51wr 	 0.01 	 W5OXC 	 EM13mm 	 1198 	 223 	 2 
